법정동명,(등록주체)시군구,(등록주체)대행업체,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,동물소유자수,기준일자
검단동,2,304,1,94,186,27,39,244,2023-12-22
관음동,13,1011,0,371,580,73,60,783,2023-12-22
구암동,15,1931,1,721,1057,169,62,1557,2023-12-22
국우동,5,944,0,327,546,76,54,696,2023-12-22
금호동,7,85,0,39,45,8,23,59,2023-12-22
노곡동,1,59,0,16,40,4,17,42,2023-12-22
대현동,10,865,0,340,465,70,53,667,2023-12-22
도남동,2,31,0,11,17,5,15,23,2023-12-22
동변동,1,663,0,148,469,47,50,507,2023-12-22
동천동,25,1515,0,606,805,129,63,1199,2023-12-22
동호동,0,8,0,3,4,1,5,7,2023-12-22
매천동,7,641,0,226,379,43,36,514,2023-12-22
복현동,17,1643,0,555,920,185,71,1331,2023-12-22
사수동,12,879,0,303,518,70,50,644,2023-12-22
산격동,36,2206,1,672,1303,268,75,1687,2023-12-22
서변동,10,845,0,242,566,47,48,657,2023-12-22
연경동,3,318,0,118,178,25,40,229,2023-12-22
읍내동,15,1796,0,608,1029,174,67,1348,2023-12-22
조야동,1,86,0,27,50,10,24,65,2023-12-22
침산동,12,2130,1,777,1201,165,68,1669,2023-12-22
태전동,23,2828,0,925,1717,209,82,2171,2023-12-22
팔달동,3,255,0,76,152,30,37,197,2023-12-22
학정동,13,722,0,264,401,70,46,525,2023-12-22
고성동1가,0,59,0,10,45,4,20,52,2023-12-22
고성동2가,0,99,0,42,55,2,23,75,2023-12-22
고성동3가,0,117,0,43,66,8,24,95,2023-12-22
노원동1가,1,147,0,47,89,12,26,121,2023-12-22
노원동2가,3,298,0,105,175,21,29,220,2023-12-22
노원동3가,2,229,0,89,110,32,34,170,2023-12-22
칠성동1가,0,31,0,10,20,1,15,28,2023-12-22
칠성동2가,12,1164,1,458,618,101,54,902,2023-12-22
율곡동,0,2,0,1,1,0,2,1,2023-12-22
