법정동,등록 품종수,반려동물 등록두수,동물소유자수,동물소유자당 동물등록수
내동,7,10,7,1.43
도동,39,223,161,1.39
부동,14,36,17,2.12
각산동,53,920,695,1.32
검사동,51,769,569,1.35
괴전동,30,183,131,1.4
금강동,9,19,12,1.58
내곡동,3,4,4,1
능성동,8,15,11,1.36
대림동,24,132,95,1.39
덕곡동,18,34,19,1.79
도학동,9,31,15,2.07
동내동,2,2,2,1
동호동,32,280,209,1.34
둔산동,28,71,54,1.31
매여동,2,7,6,1.17
미곡동,27,91,22,4.14
미대동,7,15,10,1.5
방촌동,64,1852,1400,1.32
백안동,24,80,48,1.67
봉무동,52,796,627,1.27
불로동,52,728,530,1.37
사복동,28,206,148,1.39
상매동,2,2,2,1
서호동,25,174,133,1.31
송정동,12,20,15,1.33
숙천동,21,79,57,1.39
신기동,51,588,424,1.39
신무동,5,9,7,1.29
신서동,66,1488,1156,1.29
신암동,74,2524,1893,1.33
신용동,8,16,10,1.6
신천동,69,2251,1714,1.31
신평동,40,198,138,1.43
용계동,58,618,467,1.32
용수동,11,21,11,1.91
율암동,23,87,59,1.47
율하동,71,2166,1651,1.31
입석동,41,490,350,1.4
중대동,25,83,49,1.69
지묘동,48,780,569,1.37
지저동,47,706,525,1.34
진인동,16,36,16,2.25
평광동,9,15,8,1.88
효목동,68,1861,1393,1.34
